Pos-1,Pos-2,Pos-3,Pos-4,Pos-5,Pos-6,Pos-7,Pos-8,Pos-9,Pos-10,Pos-11,Pos-12,Pos-13,Pos-14,Pos-15,Pos-16,Pos-17
so,you,-d,never,go,a,walk,at,all,.,.,.,.,.,.,.,.
and,what,did,alice,and,the,caterpillar,talk,about,i,wonder,.,.,.,.,.,.
well,alice,told,it,how,very,confusing,it,was,being,first,one,size,and,then,another,.
and,the,caterpillar,ask,-ed,her,if,she,like,-d,the,size,she,was,just,then,.
and,alice,said,she,would,like,to,be,just,a,little,bit,large,-r,.,.,.
three,inches,was,such,a,wretched,height,to,be,.,.,.,.,.,.,.,.
just,mark,off,three,inches,on,the,wall,about,the,length,of,you,-r,middle,finger,.
and,you,will,see,what,size,she,was,.,.,.,.,.,.,.,.,.
and,the,caterpillar,told,her,one,side,of,the,mushroom,would,make,her,grow,tall,-er,.
and,the,other,side,would,make,-r,her,grow,short,-er,.,.,.,.,.,.
so,alice,took,two,little,bit,-s,of,it,with,her,to,nibble,.,.,.,.
and,she,manage,-d,to,make,herself,quite,a,nice,comfortable,height,.,.,.,.,.
before,she,went,on,to,visit,the,duchess,.,.,.,.,.,.,.,.,.
would,you,like,to,hear,about,alice,-s,visit,to,the,duchess,.,.,.,.,.
it,was,a,very,interest,-ing,visit,indeed,i,can,assure,you,.,.,.,.,.
of,course,she,knock,-ed,at,the,door,to,begin,with,.,.,.,.,.,.
so,she,had,to,open,it,for,herself,.,.,.,.,.,.,.,.,.
the,door,led,right,into,the,kitchen,you,see,.,.,.,.,.,.,.,.
the,duchess,sat,in,the,middle,of,the,room,nursing,the,baby,.,.,.,.,.
the,baby,was,howl,-ing,.,.,.,.,.,.,.,.,.,.,.,.
the,soup,was,boil,-ing,.,.,.,.,.,.,.,.,.,.,.,.
the,cook,was,stirring,the,soup,.,.,.,.,.,.,.,.,.,.,.
it,was,a,cheshire,cat,.,.,.,.,.,.,.,.,.,.,.,.
the,cat,well,it,was,grinning,as,cheshire,cat,-s,always,do,.,.,.,.,.
all,these,thing,-s,were,happen,-ing,just,as,alice,went,in,.,.,.,.,.
the,duchess,has,a,beautiful,cap,and,gown,has,-nt,she,.,.,.,.,.,.
but,im,afraid,she,has,-nt,got,a,very,beautiful,face,.,.,.,.,.,.
the,baby,well,i,daresay,you,-ve,see,-n,several,nice,-r,babies,than,that,.,.
and,more,good,temper,-ed,one,-s,too,.,.,.,.,.,.,.,.,.
how,ever,take,a,good,look,at,it,.,.,.,.,.,.,.,.,.
and,well,see,if,you,know,it,again,next,time,you,meet,it,.,.,.,.
the,cook,well,you,may,have,see,-n,nice,-r,cook,-s,once,or,twice,.,.
but,im,near,-ly,sure,you,-ve,never,see,-n,a,nice,-r,cat,now,have,you
and,would,-nt,you,like,to,have,a,cat,of,you,-r,own,.,.,.,.
just,like,that,one,with,love,-ly,green,eye,-s,and,smiling,so,sweetly,.,.,.
the,duchess,was,very,rude,to,alice,.,.,.,.,.,.,.,.,.,.
why,she,even,call,-ed,her,own,baby,pig,.,.,.,.,.,.,.,.
and,it,was,-nt,a,pig,was,it,.,.,.,.,.,.,.,.,.
and,she,order,-ed,the,cook,to,chop,off,alice,-s,head,.,.,.,.,.
though,of,course,the,cook,did,-nt,do,it,.,.,.,.,.,.,.,.
and,at,last,she,threw,the,baby,at,her,.,.,.,.,.,.,.,.
so,alice,caught,the,baby,and,took,it,a-,way,with,her,.,.,.,.,.
and,i,think,that,was,about,the,best,thing,she,could,do,.,.,.,.,.
so,she,wandered,a-,way,through,the,wood,carry,-ing,the,ugly,little,thing,with,her,.
and,a,great,job,it,was,to,keep,hold,of,it,.,.,.,.,.,.
but,at,last,she,found,out,that,the,proper,way,.,.,.,.,.,.,.
it,was,to,keep,tight,hold,of,its,left,foot,and,its,right,ear,.,.,.
but,dont,you,try,to,hold,on,to,a,baby,like,that,my,child,.,.,.
there,are,not,many,babies,that,like,being,nursed,in,that,way,.,.,.,.,.
well,and,so,the,baby,kept,grunting,and,grunting,.,.,.,.,.,.,.,.
so,that,alice,had,to,say,to,it,quite,seriously,.,.,.,.,.,.,.
if,your,-e,going,to,turn,into,a,pig,my,dear,.,.,.,.,.,.
ill,have,no-,thing,more,to,do,with,you,mind,now,.,.,.,.,.,.
and,at,last,she,look,-ed,down,into,its,face,.,.,.,.,.,.,.
and,what,do,you,think,had,happen,-ed,to,it,.,.,.,.,.,.,.
look,at,the,picture,and,see,if,you,can,guess,.,.,.,.,.,.,.
why,that,-s,not,the,baby,that,alice,was,nursing,is,it,.,.,.,.,.
ah,i,knew,you,would,-nt,know,it,again,.,.,.,.,.,.,.,.
though,i,told,you,to,take,a,good,look,at,it,.,.,.,.,.,.
yes,it,is,the,baby,.,.,.,.,.,.,.,.,.,.,.,.
and,its,turn,-ed,into,a,little,pig,.,.,.,.,.,.,.,.,.
so,alice,put,it,down,and,let,it,trot,a-,way,into,the,wood,.,.,.
and,she,said,to,herself,.,.,.,.,.,.,.,.,.,.,.,.
it,was,a,very,ugly,baby,.,.,.,.,.,.,.,.,.,.,.
but,it,make,-s,rat,her,a,hand,some,pig,i,think,.,.,.,.,.
dont,you,think,she,was,right,.,.,.,.,.,.,.,.,.,.,.
all,alone,all,alone,poor,alice,.,.,.,.,.,.,.,.,.,.,.
no,baby,not,even,a,pig,to,keep,her,company,.,.,.,.,.,.,.
so,you,may,be,sure,she,was,very,glad,indeed,.,.,.,.,.,.,.
when,she,saw,the,cheshire,cat,perch,-ed,up,in,a,tree,over,her,head,.,.
the,cat,has,a,very,nice,smile,no,doubt,.,.,.,.,.,.,.,.
but,just,look,what,a,lot,of,teeth,its,got,.,.,.,.,.,.,.
isnt,alice,just,a,little,shy,of,it,.,.,.,.,.,.,.,.,.
but,then,it,could,-nt,help,having,teeth,you,know,.,.,.,.,.,.,.
and,it,could,have,help,-ed,smiling,supposing,it,had,been,cross,.,.,.,.,.
so,on,the,whole,she,was,glad,.,.,.,.,.,.,.,.,.,.
does,-nt,alice,look,very,prim,hold,-ing,her,head,so,straight,up,.,.,.,.
and,with,her,hand,-s,be-,hind,her,.,.,.,.,.,.,.,.,.
just,as,if,she,were,going,to,say,her,lesson,-s,to,the,cat,.,.,.
there,is,a,little,lesson,i,want,to,teach,you,.,.,.,.,.,.,.
while,were,look,-ing,at,this,picture,of,alice,and,the,cat,.,.,.,.,.
now,dont,be,in,a,bad,temper,about,it,my,dear,child,.,.,.,.,.
its,a,very,little,lesson,indeed,.,.,.,.,.,.,.,.,.,.,.
do,you,see,that,fox,glove,grow,-ing,close,to,the,tree,.,.,.,.,.
and,do,you,know,why,its,call,-ed,a,fox,glove,.,.,.,.,.,.
perhaps,you,think,its,got,some,thing,to,do,with,a,fox,.,.,.,.,.
no,indeed,foxes,never,wear,glove,-s,.,.,.,.,.,.,.,.,.,.
the,right,word,is,folk,-s,glove,-s,.,.,.,.,.,.,.,.,.
did,you,ever,hear,that,fairies,use,-d,to,be,call,-ed,the,good,folk,.,.
now,weve,finished,the,lesson,.,.,.,.,.,.,.,.,.,.,.,.
and,well,wait,a,minute,till,you,-ve,got,you,-r,temper,again,.,.,.,.
well,do,you,feel,quite,good,natured,again,.,.,.,.,.,.,.,.,.
no,temper,ache,and,no,crossness,about,the,corner,-s,of,the,mouth,.,.,.,.
then,we,will,go,on,.,.,.,.,.,.,.,.,.,.,.,.
was,-nt,that,a,pretty,name,for,a,cat,.,.,.,.,.,.,.,.
would,you,tell,me,which,way,i,ought,to,go,from,her,-e,.,.,.,.
and,so,the,cheshire,cat,told,her,which,way,she,ought,to,go,.,.,.,.
if,she,want,-ed,to,visit,the,hatter,.,.,.,.,.,.,.,.,.
and,which,way,to,go,to,visit,the,march,hare,.,.,.,.,.,.,.
they,are,both,mad,said,the,cat,.,.,.,.,.,.,.,.,.,.
and,then,the,cat,vanished,a-,way,.,.,.,.,.,.,.,.,.,.
just,like,the,flame,of,a,candle,when,it,goes,out,.,.,.,.,.,.
so,alice,set,off,to,visit,the,march,hare,.,.,.,.,.,.,.,.
and,as,she,went,a-,long,there,was,the,cat,again,.,.,.,.,.,.
and,she,told,it,she,did,-nt,like,it,coming,and,going,so,quick,-ly,.,.
so,this,time,the,cat,vanished,quite,slowly,.,.,.,.,.,.,.,.,.
beginning,with,the,tail,and,ending,with,the,grin,.,.,.,.,.,.,.,.
was,-nt,that,a,curious,thing,.,.,.,.,.,.,.,.,.,.,.
a,grin,with,out,any,cat,.,.,.,.,.,.,.,.,.,.,.
would,you,like,to,see,one,.,.,.,.,.,.,.,.,.,.,.
if,you,turn,up,the,corner,of,this,leaf,.,.,.,.,.,.,.,.
you,will,have,alice,look,-ing,at,the,grin,.,.,.,.,.,.,.,.
and,she,does,-nt,look,a,bit,more,frighten,-ed,.,.,.,.,.,.,.
frighten,-ed,than,when,she,was,look,-ing,at,the,cat,.,.,.,.,.,.
this,is,the,mad,tea,party,.,.,.,.,.,.,.,.,.,.,.
you,see,alice,had,left,the,cheshire,cat,.,.,.,.,.,.,.,.,.
and,had,gone,off,to,see,the,march,hare,and,the,hatter,.,.,.,.,.
as,the,cheshire,cat,had,advised,her,.,.,.,.,.,.,.,.,.,.
and,she,found,them,having,tea,under,a,great,tree,.,.,.,.,.,.,.
a,dormouse,was,sitting,between,them,.,.,.,.,.,.,.,.,.,.,.
there,were,only,those,three,at,the,table,.,.,.,.,.,.,.,.,.
but,there,were,quantities,of,tea,cups,set,all,a-,long,it,.,.,.,.,.
you,cant,see,all,the,table,you,know,.,.,.,.,.,.,.,.,.
and,even,in,the,bit,you,can,see,there,are,nine,cups,.,.,.,.,.
counting,the,one,the,mach,hare,has,got,in,his,hand,.,.,.,.,.,.
that,-s,the,march,hare,with,the,long,ear,-s,.,.,.,.,.,.,.
and,straws,mixed,up,with,his,hair,.,.,.,.,.,.,.,.,.,.
the,straws,showed,he,was,mad,.,.,.,.,.,.,.,.,.,.,.
never,twist,up,straws,among,you,-r,hair,.,.,.,.,.,.,.,.,.
for,fear,people,should,think,your,-e,mad,.,.,.,.,.,.,.,.,.
there,was,a,nice,green,arm,chair,at,the,end,of,the,table,.,.,.,.
that,look,-ed,as,if,it,was,just,meant,for,alice,.,.,.,.,.,.
so,she,went,and,sat,down,in,it,.,.,.,.,.,.,.,.,.
then,she,had,quite,a,long,talk,with,the,march,hare,and,the,hatter,.,.,.
the,dormouse,did,-nt,say,much,.,.,.,.,.,.,.,.,.,.,.
you,see,it,was,fast,asleep,generally,.,.,.,.,.,.,.,.,.,.
and,it,only,just,woke,up,for,a,moment,now,and,then,.,.,.,.,.
as,long,as,it,was,asleep,it,was,very,useful,to,the,march,hare,and,the,hatter
because,it,had,a,nice,round,soft,head,just,like,a,pillow,.,.,.,.,.
so,they,could,put,their,elbows,on,it,and,lean,a-,cross,it,.,.,.,.
and,talk,to,each,other,quite,comfortably,.,.,.,.,.,.,.,.,.,.
you,would,-nt,like,people,to,use,you,-r,head,for,a,pillow,would,you,.,.
but,if,you,were,fast,asleep,like,the,dormouse,you,would,-nt,feel,it,.,.,.
so,i,suppose,you,would,-nt,care,about,it,.,.,.,.,.,.,.,.
im,afraid,they,gave,alice,very,little,to,eat,and,drink,.,.,.,.,.,.
how,ever,after,a,bit,she,help,-ed,herself,to,some,tea,and,bread,and,butter,.
only,i,dont,quite,see,where,she,got,the,bread,and,butter,.,.,.,.,.
and,she,had,no,plate,for,it,.,.,.,.,.,.,.,.,.,.
no-,body,seems,to,have,a,plate,except,the,hatter,.,.,.,.,.,.,.
i,believe,the,march,hare,must,have,had,one,as,well,.,.,.,.,.,.
that,was,the,rule,at,this,curious,tea,party,.,.,.,.,.,.,.,.
because,when,they,all,move,-d,one,place,on,.,.,.,.,.,.,.,.
and,alice,had,to,go,into,the,place,of,the,march,hare,.,.,.,.,.
she,found,he,had,just,upset,the,milkjug,into,his,plate,.,.,.,.,.,.
so,i,suppose,his,plate,and,the,milkjug,are,hidden,be-,hind,that,large,tea,pot,.
the,hatter,use,-d,to,carry,about,hats,to,sell,.,.,.,.,.,.,.
and,even,the,one,that,hes,got,on,his,head,is,meant,to,be,sold,.,.
you,see,its,got,its,price,mark,-ed,on,it,.,.,.,.,.,.,.
that,means,ten,shillings,and,sixpence,.,.,.,.,.,.,.,.,.,.,.
was,-nt,that,a,funny,way,of,sell,-ing,hats,.,.,.,.,.,.,.
and,has,-nt,he,got,a,beautiful,necktie,on,.,.,.,.,.,.,.,.
such,a,love,-ly,yellow,tie,with,large,red,spots,.,.,.,.,.,.,.
he,has,just,got,up,to,say,to,alice,.,.,.,.,.,.,.,.
you,-r,hair,want,-s,cutting,.,.,.,.,.,.,.,.,.,.,.
that,was,a,rude,thing,to,say,was,-nt,it,.,.,.,.,.,.,.
and,do,you,think,her,hair,does,want,cutting,.,.,.,.,.,.,.,.
i,think,its,a,very,pretty,length,.,.,.,.,.,.,.,.,.,.
this,is,a,little,bit,of,the,beautiful,garden,i,told,you,about,.,.,.,.
you,see,alice,had,manage,-d,at,last,to,get,quite,small,.,.,.,.,.
so,that,she,could,go,through,the,little,door,.,.,.,.,.,.,.,.
i,suppose,she,was,about,as,tall,as,a,mouse,.,.,.,.,.,.,.
if,it,stood,on,its,hind,leg,-s,.,.,.,.,.,.,.,.,.
so,of,course,this,was,a,very,tiny,rose,tree,.,.,.,.,.,.,.
and,these,are,very,tiny,gardeners,.,.,.,.,.,.,.,.,.,.,.
what,funny,little,men,they,are,.,.,.,.,.,.,.,.,.,.,.
but,are,they,men,do,you,think,.,.,.,.,.,.,.,.,.,.
i,think,they,must,be,live,cards,.,.,.,.,.,.,.,.,.,.
with,just,a,head,and,arm,-s,and,leg,-s,so,as,to,look,like,little,men
and,what,are,they,doing,with,that,red,paint,i,wonder,.,.,.,.,.,.
well,you,see,this,is,what,they,told,alice,.,.,.,.,.,.,.,.
the,queen,of,heart,-s,want,-ed,to,have,a,red,rose,tree,just,in,that,corner
and,these,poor,little,gardeners,had,mad,-e,a,great,mistake,.,.,.,.,.,.
and,had,put,in,a,white,one,instead,.,.,.,.,.,.,.,.,.
and,they,were,so,frighten,-ed,about,it,.,.,.,.,.,.,.,.,.
because,the,queen,was,sure,to,be,angry,.,.,.,.,.,.,.,.,.
and,then,she,would,order,all,their,head,-s,to,be,cut,off,.,.,.,.
she,was,a,dreadfully,savage,queen,.,.,.,.,.,.,.,.,.,.,.
and,that,was,the,way,she,always,did,.,.,.,.,.,.,.,.,.
when,she,was,angry,with,people,.,.,.,.,.,.,.,.,.,.,.
they,did,-nt,real,-ly,cut,their,head,-s,off,you,know,.,.,.,.,.
because,no-,body,ever,obeyed,her,.,.,.,.,.,.,.,.,.,.,.
but,that,was,what,she,always,said,.,.,.,.,.,.,.,.,.,.
now,cant,you,guess,what,the,poor,little,gardeners,are,trying,to,do,.,.,.,.
they,are,trying,to,paint,the,rose,-s,red,.,.,.,.,.,.,.,.
and,they,are,in,a,great,hurry,to,get,it,done,before,the,queen,come,-s,.
and,then,perhaps,the,queen,wont,find,out,it,was,a,white,rose,tree,to,begin,with
and,then,perhaps,the,little,men,wont,get,their,head,-s,cut,off,.,.,.,.
you,see,there,were,five,large,white,rose,-s,on,the,tree,.,.,.,.,.
such,a,job,to,get,them,all,paint,-ed,red,.,.,.,.,.,.,.
but,they,-ve,got,three,and,a,half,done,now,.,.,.,.,.,.,.
and,if,only,they,would,-nt,stop,to,talk,and,work,a-,way,.,.,.,.
little,men,do,work,a-,way,.,.,.,.,.,.,.,.,.,.,.
or,the,queen,will,be,coming,before,its,done,.,.,.,.,.,.,.,.
and,if,she,find,-s,any,white,rose,-s,on,the,tree,.,.,.,.,.
do,you,know,what,will,happen,.,.,.,.,.,.,.,.,.,.,.
it,will,be,off,with,their,head,-s,.,.,.,.,.,.,.,.,.
oh,work,a-,way,my,little,men,.,.,.,.,.,.,.,.,.,.
oh,my,poor,little,alice,.,.,.,.,.,.,.,.,.,.,.,.
did,you,ever,play,at,croquet,.,.,.,.,.,.,.,.,.,.,.
there,are,large,wood,-en,ball,-s,paint,-ed,with,different,colours,.,.,.,.,.
that,you,have,to,roll,about,.,.,.,.,.,.,.,.,.,.,.
and,arches,of,wire,that,you,have,to,send,them,through,.,.,.,.,.,.
and,great,wood,-en,mallet,-s,with,long,handles,to,knock,the,ball,-s,about,with,.
now,look,at,the,picture,.,.,.,.,.,.,.,.,.,.,.,.
and,you,will,see,that,alice,has,just,been,play,-ing,a,game,of,croquet,.,.
but,she,could,-nt,play,with,that,great,red,what,-s,its,name,in,her,arm,-s
why,how,could,she,hold,the,mallet,.,.,.,.,.,.,.,.,.,.
why,my,dear,child,that,great,red,what,-s,its,name,.,.,.,.,.,.
its,real,name,is,a,flamingo,.,.,.,.,.,.,.,.,.,.,.
in,this,croquet,game,the,ball,-s,were,live,hedgehog,-s,.,.,.,.,.,.
you,know,a,hedgehog,can,roll,itself,up,into,a,ball,.,.,.,.,.,.
and,the,mallet,-s,were,live,flamingo,-s,.,.,.,.,.,.,.,.,.
so,alice,is,just,rest,-ing,from,the,game,for,a,minute,.,.,.,.,.
to,have,a,chat,with,that,dear,old,thing,the,duchess,.,.,.,.,.,.
and,of,course,she,keep,-s,her,mallet,under,her,arm,so,as,not,to,lose,it
but,i,dont,think,she,was,a,dear,old,thing,one,bit,.,.,.,.,.
to,call,her,baby,a,pig,and,to,want,to,chop,off,alice,-s,head,.,.
oh,that,was,only,a,joke,about,chopping,off,alice,-s,head,.,.,.,.,.
and,as,to,the,baby,.,.,.,.,.,.,.,.,.,.,.,.
why,it,was,a,pig,you,know,.,.,.,.,.,.,.,.,.,.
and,just,look,at,her,smile,.,.,.,.,.,.,.,.,.,.,.
why,its,wider,than,all,alice,-s,head,.,.,.,.,.,.,.,.,.
and,yet,you,can,only,see,half,of,it,.,.,.,.,.,.,.,.
well,they,-d,only,had,a,very,little,chat,.,.,.,.,.,.,.,.
when,the,queen,came,and,took,alice,a-,way,to,see,the,gryphon,and,the,mock,turtle
you,dont,know,what,a,gryphon,is,.,.,.,.,.,.,.,.,.,.
well,do,you,know,any,thing,.,.,.,.,.,.,.,.,.,.,.
how,ever,look,at,the,picture,.,.,.,.,.,.,.,.,.,.,.
that,creature,with,a,red,head,and,red,claws,and,green,scales,is,the,gryphon,.,.
and,the,other,-s,the,mock,turtle,.,.,.,.,.,.,.,.,.,.
its,got,a,calfs,head,.,.,.,.,.,.,.,.,.,.,.,.
because,calfs,head,is,use,-d,to,make,mock,turtle,soup,.,.,.,.,.,.
but,what,are,they,doing,going,round,and,round,alice,like,that,.,.,.,.,.
why,i,thought,of,course,you,-d,know,that,.,.,.,.,.,.,.,.
they,are,dancing,a,lobster,quadrille,.,.,.,.,.,.,.,.,.,.,.
and,next,time,you,meet,a,gryphon,and,a,mock,turtle,.,.,.,.,.,.
i,daresay,they,will,dance,it,for,you,if,you,ask,them,prettily,.,.,.,.
only,dont,let,them,come,quite,close,.,.,.,.,.,.,.,.,.,.
or,they,will,be,treading,on,you,-r,toe,-s,as,they,did,on,poor,alice,-s
did,you,ever,hear,how,the,queen,of,heart,-s,mad,-e,some,tarts,.,.,.
and,can,you,tell,me,what,be-,came,of,them,.,.,.,.,.,.,.
why,of,course,i,can,.,.,.,.,.,.,.,.,.,.,.,.
does,-nt,the,song,tell,all,about,it,.,.,.,.,.,.,.,.,.
the,queen,of,heart,-s,mad,-e,some,tarts,all,on,a,summer,day,.,.,.
the,knave,of,heart,-s,stole,those,tarts,.,.,.,.,.,.,.,.,.
and,took,them,quite,a-,way,.,.,.,.,.,.,.,.,.,.,.
well,yes,the,song,say,-s,so,.,.,.,.,.,.,.,.,.,.
but,it,would,never,do,to,punish,the,poor,knave,.,.,.,.,.,.,.
just,because,there,was,a,song,about,him,.,.,.,.,.,.,.,.,.
they,had,to,take,him,prisoner,.,.,.,.,.,.,.,.,.,.,.
they,put,chains,on,his,wrists,.,.,.,.,.,.,.,.,.,.,.
they,bring,him,before,the,king,of,heart,-s,.,.,.,.,.,.,.,.
so,that,there,might,be,a,regular,trial,.,.,.,.,.,.,.,.,.
now,if,you,look,at,the,big,picture,at,the,beginning,of,this,book,.,.,.
you,will,see,what,a,grand,thing,a,trial,is,.,.,.,.,.,.,.
when,the,judge,is,a,king,.,.,.,.,.,.,.,.,.,.,.
the,king,is,very,grand,isnt,he,.,.,.,.,.,.,.,.,.,.
but,he,does,-nt,look,very,happy,.,.,.,.,.,.,.,.,.,.
but,he,had,to,wear,them,both,.,.,.,.,.,.,.,.,.,.
so,that,people,might,know,he,was,a,judge,and,a,king,.,.,.,.,.
and,does,-nt,the,queen,look,cross,.,.,.,.,.,.,.,.,.,.
she,can,see,the,dish,of,tarts,on,the,table,.,.,.,.,.,.,.
that,she,had,take,-n,such,trouble,to,make,.,.,.,.,.,.,.,.
and,she,can,see,the,bad,knave,.,.,.,.,.,.,.,.,.,.
do,you,see,the,chains,hanging,from,his,wrists,.,.,.,.,.,.,.,.
that,stole,them,a-,way,from,her,.,.,.,.,.,.,.,.,.,.
so,i,dont,think,its,any,wonder,if,she,does,feel,a,little,cross,.,.,.
the,white,rabbit,is,standing,near,the,king,.,.,.,.,.,.,.,.,.
he,is,read,-ing,out,the,song,to,tell,every,body,what,a,bad,knave,he,is
and,the,jury,you,can,just,see,two,of,them,.,.,.,.,.,.,.
up,in,the,jury,box,are,the,frog,and,the,duck,.,.,.,.,.,.
they,have,to,settle,whether,hes,guilty,or,not,guilty,.,.,.,.,.,.,.
now,ill,tell,you,about,the,accident,that,happen,-ed,to,alice,.,.,.,.,.
you,see,she,was,sitting,close,by,the,jury,box,.,.,.,.,.,.,.
and,she,was,call,-ed,as,a,witness,.,.,.,.,.,.,.,.,.
you,know,what,a,witness,is,.,.,.,.,.,.,.,.,.,.,.
a,witness,is,a,person,who,has,see,-n,the,prisoner,do,what,ever,hes,accused,of
or,at,any,rat,-e,know,-s,some,thing,that,-s,important,in,the,trial,.,.
but,alice,had,-nt,see,-n,the,queen,make,the,tarts,.,.,.,.,.,.
and,she,had,-nt,see,-n,the,knave,take,the,tarts,.,.,.,.,.,.
and,in,fact,she,did,-nt,know,any,thing,about,it,.,.,.,.,.,.
so,why,in,the,world,they,want,-ed,her,to,be,a,witness,.,.,.,.
im,sure,i,cant,tell,you,.,.,.,.,.,.,.,.,.,.,.
any,how,they,did,want,her,.,.,.,.,.,.,.,.,.,.,.
and,the,white,rabbit,blew,his,big,trumpet,.,.,.,.,.,.,.,.,.
and,he,shouted,out,alice,.,.,.,.,.,.,.,.,.,.,.,.
and,so,alice,jump,-ed,up,in,a,great,hurry,.,.,.,.,.,.,.
and,then,what,do,you,think,happen,-ed,.,.,.,.,.,.,.,.,.
why,her,skirt,caught,again,-st,the,jury,box,.,.,.,.,.,.,.,.
and,it,tipped,it,over,.,.,.,.,.,.,.,.,.,.,.,.
and,all,the,poor,little,jurors,came,tumbling,out,of,it,.,.,.,.,.,.
let,-s,try,if,we,can,make,out,all,the,twelve,.,.,.,.,.,.
you,know,there,ought,to,be,twelve,to,make,up,a,jury,.,.,.,.,.
i,can,see,the,frog,and,the,dormouse,.,.,.,.,.,.,.,.,.
and,i,can,see,the,rat,and,the,ferret,.,.,.,.,.,.,.,.
and,the,hedgehog,and,the,lizard,and,the,bantam,cock,.,.,.,.,.,.,.
and,the,mole,and,the,duck,and,the,squirrel,.,.,.,.,.,.,.,.
and,a,scream,-ing,bird,with,a,long,beak,just,be-,hind,the,mole,.,.,.
but,that,only,make,-s,eleven,.,.,.,.,.,.,.,.,.,.,.
we,must,find,one,more,creature,.,.,.,.,.,.,.,.,.,.,.
oh,do,you,see,a,little,white,head,coming,out,be-,hind,the,mole,.,.,.
and,just,under,the,duck,-s,beak,.,.,.,.,.,.,.,.,.,.
that,make,-s,up,the,twelve,.,.,.,.,.,.,.,.,.,.,.
mr,tenniel,say,-s,the,scream,-ing,bird,is,a,storkling,.,.,.,.,.,.
of,course,you,know,what,that,is,.,.,.,.,.,.,.,.,.,.
and,the,little,white,head,is,a,mouseling,.,.,.,.,.,.,.,.,.
isnt,it,a,little,darling,.,.,.,.,.,.,.,.,.,.,.,.
alice,pick,-ed,them,all,up,again,very,careful,-ly,.,.,.,.,.,.,.
and,i,hope,they,were,-nt,much,hurt,.,.,.,.,.,.,.,.,.
oh,dear,oh,dear,what,is,it,all,about,.,.,.,.,.,.,.,.
and,what,-s,happen,-ing,to,alice,.,.,.,.,.,.,.,.,.,.
well,i,will,tell,you,all,about,it,as,well,i,can,.,.,.,.,.
the,way,the,trial,end,-ed,was,this,.,.,.,.,.,.,.,.,.
the,king,want,-ed,the,jury,to,settle,.,.,.,.,.,.,.,.,.
whether,the,knave,of,heart,-s,was,guilty,or,not,guilty,.,.,.,.,.,.
that,means,that,they,were,to,settle,.,.,.,.,.,.,.,.,.,.
whether,he,had,stole,-n,the,tarts,.,.,.,.,.,.,.,.,.,.
or,if,some,body,else,had,take,-n,them,.,.,.,.,.,.,.,.
but,the,wicked,queen,want,-ed,to,have,his,punishment,settle,-d,.,.,.,.,.
that,was,-nt,at,all,fair,was,it,.,.,.,.,.,.,.,.,.
because,you,know,supposing,he,never,took,the,tarts,.,.,.,.,.,.,.,.
then,of,course,he,ought,-nt,to,be,punish,-ed,.,.,.,.,.,.,.
would,you,like,to,be,punish,-ed,for,some,thing,you,had,-nt,done,.,.,.
so,alice,said,stuff,and,nonsense,.,.,.,.,.,.,.,.,.,.,.
so,the,queen,said,off,with,her,head,.,.,.,.,.,.,.,.,.
just,what,she,always,said,when,she,was,angry,.,.,.,.,.,.,.,.
so,alice,said,who,care,-s,for,you,.,.,.,.,.,.,.,.,.
your,-e,no-,thing,but,a,pack,of,cards,.,.,.,.,.,.,.,.
so,they,were,all,very,angry,.,.,.,.,.,.,.,.,.,.,.
and,they,flew,up,into,the,air,.,.,.,.,.,.,.,.,.,.
and,they,came,tumbling,down,again,all,over,alice,.,.,.,.,.,.,.,.
just,like,a,shower,of,rain,.,.,.,.,.,.,.,.,.,.,.
and,i,think,you,will,never,guess,what,happen,-ed,next,.,.,.,.,.,.
the,next,thing,was,alice,woke,up,out,of,her,curious,dream,.,.,.,.,.
and,she,found,that,the,cards,were,only,some,leave,-s,off,the,tree,.,.,.
leave,-s,that,the,wind,had,blown,down,upon,her,face,.,.,.,.,.,.
would,-nt,it,be,a,nice,thing,to,have,a,curious,dream,just,like,alice,.,.
the,best,plan,is,this,.,.,.,.,.,.,.,.,.,.,.,.
first,lie,down,under,a,tree,.,.,.,.,.,.,.,.,.,.,.
and,wait,till,a,white,rabbit,run,-s,by,with,a,watch,in,his,hand,.,.
then,shut,you,-r,eye,-s,and,pretend,to,be,dear,little,alice,.,.,.,.
good,bye,alice,dear,good,bye,.,.,.,.,.,.,.,.,.,.,.
